date,num_search,ceo kim,stock_price
2021-03-28,39,4,834000
2021-04-04,36,2,885000
2021-04-11,31,3,906000
2021-04-18,32,2,894000
2021-04-25,27,0,861000
2021-05-02,27,1,820000
2021-05-09,26,1,850000
2021-05-16,29,1,823000
2021-05-23,26,3,856000
2021-05-30,29,1,854000
2021-06-06,30,1,858000
2021-06-13,31,1,848000
2021-06-20,37,2,825000
2021-06-27,34,2,820000
2021-07-04,40,1,834000
2021-07-11,29,5,778000
2021-07-18,27,2,809000
2021-07-25,25,1,809000
2021-08-01,24,3,812000
2021-08-08,31,2,790000
2021-08-15,35,2,853000
2021-08-22,38,6,709000
2021-08-29,34,12,633000
2021-09-05,30,5,611000
2021-09-12,31,14,589000
2021-09-19,31,7,571000
2021-09-26,33,4,571000
2021-10-03,33,5,560000
2021-10-10,30,1,582000
2021-10-17,30,1,619000
2021-10-24,33,1,621000
2021-10-31,100,9,595000
2021-11-07,79,2,786000
2021-11-14,70,2,760000
2021-11-21,61,2,700000
2021-11-28,50,1,690000
2021-12-05,47,1,737000
2021-12-12,38,1,680000
2021-12-19,48,1,656000
2021-12-26,44,0,643000
2022-01-02,39,1,606000
2022-01-09,39,1,583000
2022-01-16,32,1,565000
2022-01-23,35,1,567000
2022-01-30,33,1,536000
2022-02-06,33,2,540000
2022-02-13,35,1,510000
2022-02-20,33,2,492500
2022-02-27,31,15,463500
2022-03-06,34,2,459500
2022-03-13,26,1,452000
